Canonical Pathways	GFP1	GFP25	GFP26	GFP27	GFP28	GFP29	GFP3
EIF2 Signaling	-0.0	0.21340821308355362	18.3228351978638	-0.0	20.29708259978367	0.30924774331912025	2.076280532904844
Axonal Guidance Signaling	1.2576569626393936	3.0307100007507546	0.5853484511030556	11.486589642330188	7.079505699224676	5.492930334004104	2.805115982154431
Oxidative Phosphorylation	-0.0	1.3743331926450646	14.55495914662258	0.7766263986154648	5.5428634978139915	-0.0	2.076280532904844
Mitochondrial Dysfunction	-0.0	1.2852713306396426	13.833732409542762	0.7005580229008361	2.8694936713978594	-0.0	2.805115982154431
mTOR Signaling	-0.0	0.41243355794795494	9.288036876302062	-0.0	6.945295194535186	0.45693504423412024	0.4570547213548826
Synaptogenesis Signaling Pathway	1.3335880115531136	0.7016942940001808	0.339820074547716	5.114081455181469	2.8694936713978594	3.289555364079884	1.5056785662756902
Sirtuin Signaling Pathway	-0.0	0.6977564216838744	7.816704997477649	0.282186938991487	2.026158866535243	-0.0	1.9287126715294627
Regulation of eIF4 and p70S6K Signaling	-0.0	-0.0	4.390893892860343	-0.0	7.079505699224676	-0.0	0.29786138767859605
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.8885303564377625	2.5363382295584356	0.604879957106136	3.52688528968789	0.7354132773809388	0.6088418936233869	1.3957295706454562
GP6 Signaling Pathway	1.3335880115531136	1.9464081974133083	0.18054011361847452	1.9718192900809224	1.1224125696262195	1.3614572428522598	0.5448957590667098
p53 Signaling	0.7304351491958878	1.2979197748034612	0.6075282685700506	1.3584278018340221	0.9557593104550989	0.8485726421730734	2.076280532904844
Antigen Presentation Pathway	4.875596496412209	0.8789966236560467	0.3223985968624932	0.32145798193217084	0.1883031910979767	0.2533525475887698	0.9656174843150505
RhoGDI Signaling	0.5053988786466758	0.9181218638002435	-0.0	2.520511007056941	2.5241261370115167	1.0821694000243598	-0.0
Sperm Motility	1.1824595578089068	0.8231874926632481	0.46410708095574343	1.080140270790265	1.0764148247264114	0.9047875043138354	1.9670353730810937
Glioblastoma Multiforme Signaling	0.28505021582142936	1.9464081974133083	0.10887573877293925	0.878694869249145	0.44738953491785893	2.4458886232381274	1.1725535315079252
Molecular Mechanisms of Cancer	0.7396605318453979	1.3186048739938494	0.10887573877293925	0.7005580229008361	0.6228821176867977	2.4458886232381274	1.3253755750878546
Cardiac Hypertrophy Signaling (Enhanced)	0.7396605318453979	0.9181218638002435	0.529492353663397	0.9611023882289133	0.11951988411914279	0.9691661889517303	2.80621175977507
Dermatan Sulfate Biosynthesis	0.5404141803804351	0.46082592217319246	0.5737112876907371	1.080140270790265	0.6536588779047586	1.1310279746865624	2.362734078494453
Human Embryonic Stem Cell Pluripotency	0.612813639061246	1.9464081974133083	0.08046492964241861	0.8448885164262063	1.0764148247264114	1.1788686778870985	1.0115336816719545
Bladder Cancer Signaling	0.575048149917405	0.6455071004112484	0.26614666779204205	2.66230472450454	0.49675067924454175	0.8538537990094911	1.2136811831183856
Ephrin Receptor Signaling	-0.0	0.8231874926632481	0.07701893024753921	2.520511007056941	1.8546680992712377	0.809176342321223	0.2038206838633398
LPS/IL-1 Mediated Inhibition of RXR Function	0.3984008372585546	0.9181218638002435	0.6075282685700506	0.2049858118573285	-0.0	1.4948607506431286	2.6462574852513576
Endocannabinoid Cancer Inhibition Pathway	0.1942342206397	0.2777911028373694	0.8527379861416645	1.992827269909841	0.3522852821769774	1.4787064615844803	0.7530537463996206
HER-2 Signaling in Breast Cancer	0.7304351491958878	0.9181218638002435	0.39276364405330316	0.707936745075306	1.0764148247264114	1.4351161488429847	0.4545759329225679
Regulation of the Epithelial-Mesenchymal Transition Pathway	0.3984008372585546	0.38945626008419887	0.10887573877293925	1.080140270790265	0.6460658641656801	1.0084539311938974	2.064365456245946
Signaling by Rho Family GTPases	0.31589190014834834	0.9181218638002435	-0.0	1.992827269909841	1.2263346115223475	1.1788686778870985	-0.0
Chondroitin Sulfate Biosynthesis	0.3938650739486748	0.3089949280932777	0.488129679151617	0.926327875353218	0.4519597833569782	0.9406995880103718	2.076280532904844
Wnt/β-catenin Signaling	0.40867624367416727	0.36845290536130537	0.18644580021924909	0.9548508276193725	0.44738953491785893	1.1766767646594036	1.9670353730810937
CREB Signaling in Neurons	0.17979852805728677	0.4258574258107535	0.13221198264635348	0.9429524644971575	0.6110380500563598	2.4458886232381274	0.7184237280961746
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	0.23557042205366358	0.7016942940001808	0.5737112876907371	0.20558057712965092	0.1508037535865685	2.4458886232381274	1.1133964494723503
Leukocyte Extravasation Signaling	0.354591077210309	1.3757264176514494	0.13221198264635348	1.7381486557765176	0.44738953491785893	0.8264041181021037	0.5448957590667098
Hepatic Fibrosis Signaling Pathway	0.304354174200177	0.9181218638002435	0.18644580021924909	0.7005580229008361	0.2755272711318468	1.5049275296392433	1.5056785662756902
Salvage Pathways of Pyrimidine Ribonucleotides	0.17164542690161685	0.36577989107093645	1.9807621081037865	0.45270131809841646	0.3180570987923823	0.664005188501353	1.2136811831183856
Colorectal Cancer Metastasis Signaling	0.32196747031509065	0.8550899719252548	0.18644580021924909	1.287631817110629	0.37330395337627026	1.5509316493347383	0.4945997514816709
Tec Kinase Signaling	0.612813639061246	1.9464081974133083	0.05688885495986506	0.7357798126821145	0.44738953491785893	0.9047875043138354	0.3406314677886611
Aryl Hydrocarbon Receptor Signaling	0.40037324618980547	0.6253010806398481	0.604879957106136	1.3146459973716655	0.14968950946437437	1.2677448960324011	0.6060712097182938
STAT3 Pathway	1.8885303564377625	0.5601102736739335	0.3223985968624932	0.539300113524626	-0.0	0.28109274444511895	1.2115018988843766
Dermatan Sulfate Biosynthesis (Late Stages)	0.33152944873248025	0.38012096118201405	0.3399009665405267	0.42674706568801746	0.3682090961699978	0.8538537990094911	2.076280532904844
Adrenomedullin signaling pathway	0.3005859165886633	0.580930593203094	0.28004911101975827	0.4062539060415509	0.1508037535865685	0.9691661889517303	1.9670353730810937
Neuropathic Pain Signaling In Dorsal Horn Neurons	0.8818764964342425	0.9181218638002435	0.32073038011018357	0.29224905288712255	0.27791198994964667	1.1788686778870985	0.7495816192193797
Ovarian Cancer Signaling	0.255429038922572	0.39005252654032035	0.18054011361847452	0.8017905554457715	0.27791198994964667	1.3305941713424225	1.3420783433166148
Chondroitin Sulfate Biosynthesis (Late Stages)	0.32196747031509065	0.2095893941010555	0.19050618426737576	0.5883338796932677	0.34552085925401477	0.8333039205634138	2.076280532904844
Endothelin-1 Signaling	0.2747747581140457	0.3095349326519685	0.2789499446498145	0.8017905554457715	0.2998185969975172	1.1788686778870985	1.377785179043295
Cellular Effects of Sildenafil (Viagra)	0.6747964100690762	0.5772225688814562	0.10887573877293925	0.5754665225989112	0.24249324374962442	0.8761706111158819	1.4638852697827618
Inhibition of Matrix Metalloproteases	0.6932537001470811	0.6522728202411581	0.11301500560931377	0.9836599885832499	0.44738953491785893	1.5509316493347383	-0.0
P2Y Purigenic Receptor Signaling Pathway	-0.0	0.5971520012006246	0.09130330771781263	1.080140270790265	0.44738953491785893	1.7322898856651905	0.4733081621618276
Agrin Interactions at Neuromuscular Junction	-0.0	0.6253010806398481	-0.0	0.9613843774598934	2.0304082687748473	0.29869612856726735	0.4945997514816709
