Gene ID	Gene-level statistic	Sign (FC direction)	In gene-sets
ABCA1	0.166798664136535	-1	44
ABCA7	0.000214863161594784	1	52
ABCB6	0.04698883849171	1	20
ABCB9	0.000790676057471859	1	12
ABCC6	0.234837835307202	1	9
ABCD1	0.0313535951590905	1	26
ABCD4	8.09505654960335e-05	1	11
ABCG1	0.0126412231990307	-1	19
ABHD4	0.864199314795438	1	10
ABI1	0.0989331005100295	-1	29
AC074143.1	0.00129353335290126	1	30
ACER3	0.101214799266801	1	18
ACO1	0.0958264439704204	-1	4
ACSBG1	0.27523505342924	1	8
ACSL1	0.0266704929680223	-1	17
ACSL3	0.662715787412919	-1	52
ACSL4	2.05754357657562e-13	-1	19
ACSL5	0.593537391586947	-1	11
ACSL6	0.0149266004017846	1	12
ADAM10	0.00498944180262786	-1	65
ADAMTS13	0.000528538298069867	1	9
ADAMTS5	0.00830412923790224	-1	4
ADAMTS7	0.852022596740401	1	9
ADAMTS9	0.595530786199521	-1	11
ADAMTSL1	0.930113123362454	1	4
ADAMTSL4	9.3647867533533e-09	-1	5
ADCYAP1R1	4.41288938477565e-09	-1	23
ADIPOQ	0.639147648436456	-1	49
ADORA1	0.722322475273589	-1	55
ADPGK	0.0247546581480489	1	4
AFP	0.250363503093261	1	5
AGA	0.944510367033012	1	21
AGL	0.0111439342723135	-1	25
AGPAT1	2.17666136421125e-17	1	12
AGPAT2	0.0457539148992925	1	28
AGPAT3	0.277786938956232	1	15
AGPAT4	5.81249440889618e-06	1	13
AGPAT5	0.756088255849393	1	14
AGTRAP	0.0432300608682136	1	12
AHCYL1	6.59939772287653e-12	-1	9
AHCYL2	0.316882187472318	1	3
AHSA1	0.0457492139975798	-1	16
AHSG	0.934805991731649	-1	33
AIFM3	0.601682124276106	-1	1
AIMP1	0.0799305417120107	-1	13
AKAP6	0.419754963036794	-1	17
ALB	0.507336257885841	-1	25
ALDH3A1	0.161966700608715	1	2
ALDH3A2	0.438029001921432	1	10
ALG1	0.0290215051517498	-1	16
ALG10	0.91983678852402	1	15
ALG10B	0.643916508401414	1	22
ALG11	0.45246525457546	-1	16
ALG12	0.117552329527335	1	18
ALG13	0.798854986142358	-1	17
ALG14	0.330211419440749	1	17
ALG1L	0.839796857145089	1	10
