EPO8	EPO7	EPOB9	EPOI2
GO_ENDOPLASMIC_RETICULUM	1.92631830052372	2.94229586846597	3.21913566301666	3.15357009981688
GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	1.92631830052372	2.94229586846597	3.21913566301666	3.15357009981688
GO_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	1.92631830052372	2.94229586846597	3.21913566301666	3.15357009981688
GO_ENDOPLASMIC_RETICULUM_PART	1.92631830052372	2.94229586846597	3.21913566301666	3.15357009981688
GO_LIPOSACCHARIDE_METABOLIC_PROCESS	1.92631830052372	2.94229586846597	0	0
GO_NEURON_DEVELOPMENT	-2.73923715506383	2.94229586846597	0.00780891359483668	0
GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	-2.73923715506383	-0.0520910690688281	0	0
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	-2.73923715506383	0.166139216614138	0	0
GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	-2.73923715506383	0	0.825736619004878	0
GO_PROTEIN_LOCALIZATION_TO_ORGANELLE	-2.73923715506383	-2.34545768779717	0	0
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	0	2.94229586846597	0	0
GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	1.20887099927271	2.94229586846597	3.21913566301666	3.15357009981688
GO_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	-0.0451980936512839	2.94229586846597	3.21913566301666	3.15357009981688
GO_SECRETION	0	2.94229586846597	3.21913566301666	1.42184233310616
GO_NEGATIVE_REGULATION_OF_BINDING	-2.4780777551165	-2.34545768779717	0.0542508390187722	0
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	-2.73923715506383	-2.34545768779717	2.03639631478292	0
GO_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	-2.35229436334114	-2.34545768779717	3.21913566301666	0
GO_MIDBODY	0	-2.34545768779717	0	0
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	-0.184787637700646	0	3.21913566301666	0
GO_PROTEIN_CATABOLIC_PROCESS	-0.13505009984204	0.172533797031275	3.21913566301666	3.15357009981688
GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	-0.939869000468955	0.122202632493126	3.21913566301666	3.15357009981688
GO_REGULATION_OF_CATABOLIC_PROCESS	-2.28449805470672	-0.305939106821604	3.21913566301666	3.15357009981688
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0	2.4505553069873	3.21913566301666	3.15357009981688
GO_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	0	2.72220748106856	3.21913566301666	3.15357009981688
GO_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.463239606956613	2.72220748106856	3.21913566301666	3.15357009981688
