Canonical Pathways	EPO7	EPO8	EPOB9	EPOF21	EPOI2
EIF2 Signaling	19.358538688644035	21.708986319614482	3.266849960442454	7.346635478811229	1.349007205796901
mTOR Signaling	6.591115802504641	6.698615023147605	2.5882600169297842	3.7839840257857413	1.3033118660520335
Regulation of eIF4 and p70S6K Signaling	6.591115802504641	6.480910166452565	1.895221361568327	3.1273980670247377	1.068135309765306
Oxidative Phosphorylation	4.562312888806321	0.2612476173003045	2.1402612367084126	6.6947799264903	0.9618428006795647
Mitochondrial Dysfunction	5.889674483508191	0.2277710641050943	2.5806355199148556	4.75875665988981	1.0082864326211292
Axonal Guidance Signaling	4.827951145152837	3.218011715062952	1.7109062293787407	1.4591740331268965	1.1167420916207342
Sirtuin Signaling Pathway	2.0851576550225315	0.23478218847050297	2.1849736571942358	2.469366610351696	0.5492429382130063
Synaptogenesis Signaling Pathway	0.3183006018110514	5.305947127176616	0.36844558300947106	0.26598209731504685	1.1682533161662576
Sperm Motility	0.5750772581081154	1.0755830531908674	0.48701139916411257	2.0698830685086786	1.2986108357142334
Endocannabinoid Neuronal Synapse Pathway	0.5750772581081154	0.9783770958402664	0.6764531127102436	0.539723417591444	1.068135309765306
Inhibition of Matrix Metalloproteases	2.0851576550225315	0.5100752515248335	0.524393820088665	0.4357934503424544	0.16356988764178185
IL-15 Production	0.5750772581081154	0.5999964481989811	0.48701139916411257	0.9569447197880558	1.068135309765306
Apelin Cardiomyocyte Signaling Pathway	0.6062407879850552	0.23478218847050297	0.21969091826824536	2.075349502037003	0.5492429382130063
Gαq Signaling	0.6062407879850552	0.2628070266895846	0.39915038192723973	1.5615937652553153	0.7786258361299174
Folate Transformations I	0.36333646748309184	0.164304427959602	0.36844558300947106	2.5199723478755423	0.11546405268568403
Choline Biosynthesis III	0.388242737412313	1.4359881796866185	0.36844558300947106	0.8907728860377989	0.39140734306178315
Aryl Hydrocarbon Receptor Signaling	0.3857752716666829	2.398823503404407	0.18217488273684102	0.2623733229658221	0.24566471059716688
RhoGDI Signaling	0.47063048989444495	1.0189456773448062	0.23434794208913223	0.4460354615817696	1.3033118660520335
Dermatan Sulfate Biosynthesis	0.6062407879850552	0.588150212403799	0.2708095276837539	0.9569447197880558	0.9224540947574071
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.4566604870440627	-0.0	-0.0	1.0154153162021817	0.7940076809297847
Role of NFAT in Cardiac Hypertrophy	0.3699395304990076	0.3150864663078002	0.2763831507987755	1.33174845840337	0.8938937834595984
Chondroitin Sulfate Biosynthesis	0.5460921530643867	0.4589955598142912	0.21969091826824536	1.0839206753974446	0.8395033785325983
White Adipose Tissue Browning Pathway	0.2594028181784055	1.0755830531908674	0.3276689640545302	0.6350478382035871	0.8395033785325983
Leukocyte Extravasation Signaling	0.3585699204285124	0.9743166674004798	0.524393820088665	0.6773188986478671	0.5965989846408949
Parkinson's Signaling	0.219128503776631	1.3771692097972785	0.3499357812108592	0.18714139888250808	0.9224540947574071
Iron homeostasis signaling pathway	0.580719840994817	0.8273107204708229	0.524393820088665	0.6407458530411603	0.4584411666305187
GP6 Signaling Pathway	1.586868413938003	-0.0	0.11692529696726685	0.8907728860377989	0.40775077873881316
Hepatic Fibrosis Signaling Pathway	0.388242737412313	0.2277710641050943	0.16043702367953178	1.2426312428511233	0.9618428006795647
LPS/IL-1 Mediated Inhibition of RXR Function	1.0567755836053558	0.8026193478037061	0.18217488273684102	0.3605926767760152	0.5492429382130063
Unfolded protein response	1.9875794943806229	0.1120606702361167	0.1600346096965535	0.6911254460278249	-0.0
tRNA Charging	0.2387943860983207	-0.0	0.524393820088665	2.1862260311801927	-0.0
Synaptic Long Term Depression	0.20554948029034578	1.4359881796866185	0.1600346096965535	0.3835685062700492	0.7620080401655301
Dopamine Degradation	0.36333646748309184	1.4359881796866185	0.2763831507987755	0.4460354615817696	0.40775077873881316
Neuroinflammation Signaling Pathway	0.541996296784447	0.9631655090900412	0.3276689640545302	0.6327043048106272	0.40775077873881316
Antioxidant Action of Vitamin C	0.43145722885396515	0.8486823643591739	0.2763831507987755	0.766542853581745	0.5492429382130063
GNRH Signaling	0.32230196932286237	0.588150212403799	0.19431009953155304	1.0873746041978778	0.6587947732648693
IL-8 Signaling	1.0567755836053558	0.2979432636334862	0.18217488273684102	0.7522210697488927	0.5492429382130063
Signaling by Rho Family GTPases	0.388242737412313	0.588150212403799	0.149851907626306	0.5231095984430236	1.1682533161662576
CCR5 Signaling in Macrophages	0.3174906318658805	0.35771447114197996	0.290470943738274	0.752265094973446	1.068135309765306
Netrin Signaling	0.36333646748309184	0.5090365411675004	0.36844558300947106	0.5424483868958402	0.9618428006795647
