EPO7_I_6	EPO7_II_6	EPO8_I_6	EPO8_II_6	EPOB9_I_8	EPOB9_II_6	EPOF21_I_6	EPOF21_II_1	EPOF21_II_3	EPOI2_I_6	EPOI2_II_6
#CLASS:  sampleName	EPO7	EPO7	EPO8	EPO8	EPOB9	EPOB9	EPOF21	EPOF21	EPOF21	EPOI2	EPOI2
#CLASS:  protein	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO
#CLASS:  producibility	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer
#CLASS:  cellType	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle
ENSG00000004838	31	40	22	11	128	57	16	20	10	27	33
ENSG00000004846	8	11	10	6	25	5	5	5	0	16	9
ENSG00000004848	10	6	4	16	12	2	6	6	2	7	4
ENSG00000004864	3166	2979	2919	1913	6345	3434	3527	1912	795	3177	3454
ENSG00000004866	789	736	894	550	1602	951	961	723	292	782	928
ENSG00000004897	5781	5198	8300	5501	10183	5828	5857	3045	1320	5544	5829
ENSG00000004939	14	12	25	8	36	21	13	10	6	18	26
ENSG00000004948	3	2	11	10	8	8	8	5	5	4	14
ENSG00000004961	1757	1870	2646	1649	2851	1673	1800	1067	443	1605	1620
ENSG00000004975	2551	2434	3462	2236	4856	2657	2434	1747	634	2548	2526
ENSG00000005001	0	2	2	0	0	2	0	0	0	0	2
ENSG00000005007	5134	4250	5894	3656	8257	4045	3215	2153	829	3861	3809
ENSG00000005020	1985	1793	2994	2037	3174	1868	1789	945	360	1663	1741
ENSG00000005022	15669	17509	25675	16088	26267	14369	14948	8345	3286	13678	13911
ENSG00000005059	2323	2499	3243	2039	4046	2325	2414	1497	608	1691	2076
ENSG00000005073	431	425	597	378	877	490	404	173	70	391	366
ENSG00000005075	2769	2951	2502	1719	5357	2796	2604	2122	895	2494	2782
ENSG00000005100	2342	2147	3108	1979	4981	2535	2212	1348	594	2268	2390
ENSG00000005102	33	31	16	15	65	20	23	20	3	30	39
ENSG00000005108	68	51	151	111	248	138	58	24	15	109	115
ENSG00000005156	3351	3376	3975	2666	6210	3312	2562	1688	669	3295	3436
ENSG00000005175	2182	1913	2933	2033	3536	2096	2039	1043	514	1836	2104
ENSG00000005187	98	91	162	103	162	104	75	53	19	117	159
ENSG00000005189	369	422	645	415	958	494	362	218	104	503	536
ENSG00000005194	1803	1877	3529	2166	4527	2270	2528	1506	601	2205	2393
ENSG00000005206	1184	1269	1241	749	4308	1920	1198	1072	403	2236	2181
ENSG00000005238	173	177	150	97	250	128	98	68	28	155	140
ENSG00000005243	17	19	9	7	75	50	4	4	4	1	2
ENSG00000005249	705	654	788	564	1344	784	700	397	183	715	701
ENSG00000005302	1110	1190	1787	1171	2344	1284	1059	702	296	1095	1307
ENSG00000005339	2583	1940	4974	3518	5021	2569	2526	1863	712	2503	2532
ENSG00000005379	0	0	6	1	6	1	3	0	0	3	5
ENSG00000005381	0	0	0	0	0	0	0	0	0	1	0
ENSG00000005421	0	0	1	0	0	0	0	0	0	0	0
ENSG00000005436	1653	1721	2420	1712	3183	1789	1886	1094	485	1528	1767
ENSG00000005448	1483	1403	2066	1291	2280	1159	1292	772	312	1364	1320
ENSG00000005469	511	471	384	234	967	609	514	269	90	492	516
ENSG00000005471	134	88	185	146	311	156	131	95	43	149	147
ENSG00000005483	1611	1220	1251	911	3138	1702	1248	771	325	1272	1471
ENSG00000005486	1161	1097	1891	1186	2511	1211	1276	994	381	1191	1196
ENSG00000005513	153	150	356	213	539	302	189	139	59	207	215
ENSG00000005700	1281	1194	1437	961	2240	1278	1151	588	227	1138	1201
ENSG00000005801	886	973	995	708	2436	1294	1068	713	307	1062	1232
ENSG00000005810	4489	2870	6362	4105	7232	4039	3254	1822	745	4012	3808
ENSG00000005812	4201	3933	5134	3461	7089	4024	3758	2064	854	2958	3089
ENSG00000005844	7	11	20	18	26	5	6	7	4	15	15
ENSG00000005882	1792	1629	2445	1588	2998	1585	1628	1240	519	1761	1813
ENSG00000005884	568	486	835	564	1406	711	618	483	186	996	922
ENSG00000005889	1658	1462	2538	1588	4030	2117	2044	1194	486	1532	1704
ENSG00000005893	3142	2683	6052	3839	7017	4068	4421	2180	904	3581	3601
ENSG00000005961	217	283	272	151	676	309	138	137	45	325	397
ENSG00000005981	8	10	6	3	12	6	9	1	1	11	21
ENSG00000006007	2652	2717	4963	3399	7845	4303	4023	2631	1148	3175	3711
ENSG00000006015	1429	1306	1364	900	2464	1225	989	688	288	1229	1308
ENSG00000006016	203	155	340	209	272	155	60	71	27	142	94
ENSG00000006025	518	541	607	387	1559	795	557	439	209	993	1107
ENSG00000006042	2529	2405	4658	2996	6882	3588	4351	2901	1117	3821	3896
ENSG00000006047	26	30	39	19	63	37	6	13	5	23	19
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	342	309	313	210	674	364	227	210	79	359	396
ENSG00000006071	130	128	187	130	426	205	118	87	39	237	252
ENSG00000006116	0	3	2	0	8	4	1	1	0	6	3
ENSG00000006118	1580	1324	2616	1573	4810	2282	1373	1086	401	2246	2226
ENSG00000006125	16581	14599	24132	15692	26790	15087	14627	8613	3554	17666	17490
ENSG00000006128	87	96	74	49	120	63	183	100	43	80	109
ENSG00000006194	1003	985	1775	1112	2148	1105	879	639	202	949	1094
ENSG00000006210	10	12	27	22	21	5	15	2	5	9	5
ENSG00000006282	787	685	1096	728	2095	971	709	638	239	1229	1371
ENSG00000006283	288	205	470	293	430	252	157	106	42	255	241
ENSG00000006327	452	392	617	371	884	393	527	477	187	519	557
ENSG00000006377	184	152	137	107	347	199	196	115	36	172	217
ENSG00000006432	839	714	980	637	1699	896	628	433	169	717	660
ENSG00000006451	2198	2047	2945	1851	3577	2159	1833	1010	401	1742	1815
ENSG00000006453	1889	2052	1956	1378	3599	2073	1872	1366	502	2077	2091
ENSG00000006459	1211	1000	1644	1033	2495	1313	990	544	226	1266	1210
ENSG00000006468	275	225	552	336	571	288	607	286	121	366	435
ENSG00000006530	2809	2571	4549	3008	5388	2916	2930	1787	679	2719	3211
ENSG00000006534	60	49	67	47	89	52	29	20	7	59	43
ENSG00000006555	3	3	2	0	13	3	5	6	2	3	4
ENSG00000006576	1961	1824	1834	1138	3519	2107	2319	1237	506	1647	1631
ENSG00000006606	1	5	7	7	9	5	3	4	4	2	6
ENSG00000006607	1847	1696	2548	1663	3424	1761	1668	954	394	1722	1635
ENSG00000006611	99	110	275	180	169	107	36	27	17	119	103
ENSG00000006625	2783	3279	3966	2617	4267	2521	2243	1126	521	2292	2380
ENSG00000006634	1727	1772	1614	1061	3106	1855	1687	1015	427	1401	1513
ENSG00000006638	135	99	211	143	287	148	119	102	36	158	118
ENSG00000006652	2064	2258	2700	1888	4312	2344	2289	1369	551	2335	2635
ENSG00000006659	4	6	0	0	5	2	1	2	0	2	1
ENSG00000006695	898	879	1254	861	1454	763	712	475	205	817	828
ENSG00000006704	962	953	1429	965	2061	1078	879	707	289	1059	1027
ENSG00000006712	3665	3602	5082	3477	5893	3103	3161	2187	875	3330	3415
ENSG00000006715	2336	2092	3681	2352	4341	2328	2308	1150	479	2126	2220
ENSG00000006740	713	637	1061	765	1355	690	576	374	131	629	713
ENSG00000006744	3607	3367	5145	3527	7108	3560	3214	2295	851	3723	3738
ENSG00000006747	94	89	93	90	123	70	49	28	11	76	88
ENSG00000006756	21	14	17	18	29	16	10	2	1	19	22
ENSG00000006757	1130	1273	1835	1153	2109	1156	1043	808	331	966	1166
ENSG00000006788	0	0	0	0	4	0	0	0	0	0	0
ENSG00000006831	5401	5133	7324	4961	9318	5244	4696	3003	1176	4411	4689
ENSG00000006837	179	258	275	188	268	158	146	68	38	145	179
ENSG00000007001	0	0	1	0	2	2	1	2	2	0	2
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	1
ENSG00000007047	1854	1902	2941	1921	3511	1945	1708	1294	501	1806	1922
ENSG00000007062	55	34	14	8	138	85	11	3	0	8	11
ENSG00000007080	4362	4409	5370	3685	6839	3590	3052	2305	866	3574	3763
ENSG00000007129	2	3	4	0	2	0	0	0	0	1	1
ENSG00000007168	4900	4534	6887	4415	8160	4793	4630	2474	1014	4409	4380
ENSG00000007171	104	77	122	82	206	144	75	44	18	128	85
ENSG00000007174	0	2	4	1	8	0	3	2	0	3	0
ENSG00000007202	10195	8310	15798	10263	23552	12551	12389	8168	3252	14108	13760
ENSG00000007216	0	0	0	0	1	0	1	0	0	0	0
ENSG00000007237	467	411	959	565	820	437	367	237	83	358	368
ENSG00000007255	931	942	1416	858	1680	856	754	429	183	935	926
ENSG00000007264	347	351	727	481	723	367	146	114	47	283	309
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	4	3	30	17	9	8	4	2	1	6	4
ENSG00000007314	47	71	75	52	87	36	28	16	8	131	124
ENSG00000007341	562	546	1017	701	1521	829	816	665	238	730	823
ENSG00000007350	183	268	103	87	279	150	190	126	53	121	132
ENSG00000007372	940	1018	1309	917	2484	1330	957	675	256	1073	1350
ENSG00000007376	1308	1188	2052	1314	2293	1164	1102	885	305	1164	1261
ENSG00000007384	353	324	599	386	1125	551	348	360	132	520	480
ENSG00000007392	1184	1289	1758	1162	3733	1702	1119	783	314	1450	1632
ENSG00000007402	268	188	644	369	748	413	321	226	117	392	369
ENSG00000007516	275	257	410	273	566	231	129	120	60	356	437
ENSG00000007520	2961	2659	5224	3320	5935	2704	2631	1773	638	2809	2616
ENSG00000007541	1925	1782	2939	1961	4681	2086	1727	1582	533	2335	2530
ENSG00000007545	1239	1054	2092	1392	3304	1478	1221	832	377	1471	1311
ENSG00000007866	696	653	706	450	1539	805	598	483	165	609	563
ENSG00000007908	0	0	0	0	2	0	0	0	0	0	0
ENSG00000007923	3622	3545	4492	2997	6663	3482	2789	1923	741	3881	3884
ENSG00000007933	11	21	11	7	52	45	14	16	8	15	18
ENSG00000007944	521	569	448	284	1057	523	541	346	158	562	670
ENSG00000007952	0	0	0	0	1	0	0	0	0	0	0
ENSG00000007968	891	821	799	472	1125	563	439	321	125	784	735
ENSG00000008018	8203	9005	9465	5699	14091	7508	8882	4281	1798	7436	7799
ENSG00000008056	57	46	78	72	123	47	77	59	30	58	67
ENSG00000008083	2308	2031	2427	1685	4163	2132	1506	1101	448	1601	1675
ENSG00000008086	648	497	1123	735	1797	1040	679	419	149	777	802
ENSG00000008118	5	6	8	9	16	12	3	5	2	5	4
ENSG00000008128	817	936	790	533	1939	979	525	480	167	1123	1289
ENSG00000008130	4293	4138	3778	2460	7488	3865	2748	1987	767	4034	4212
ENSG00000008196	0	0	1	0	1	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	1	7	10	7	9	6	6	2	0	4	19
ENSG00000008256	1082	1059	1460	946	1949	1041	797	546	201	981	1000
ENSG00000008277	913	735	977	579	2112	1215	942	590	203	1149	1177
ENSG00000008282	1916	1854	2301	1405	3919	2166	2670	1510	607	1840	1946
ENSG00000008283	783	683	1267	725	1630	836	774	531	215	843	972
ENSG00000008294	6124	5409	9132	6156	14058	7895	6280	3613	1493	7114	7289
ENSG00000008300	250	237	397	261	1034	555	314	265	104	721	680
ENSG00000008311	680	692	771	566	1778	959	787	479	184	985	1013
ENSG00000008323	7	12	11	4	12	3	4	3	3	8	4
ENSG00000008324	1098	1491	1239	756	2506	1522	1338	769	354	1154	1490
ENSG00000008382	829	818	1023	626	1444	738	479	326	147	695	631
ENSG00000008394	1982	2140	3025	2035	3317	1826	1964	1116	440	1651	1789
ENSG00000008405	909	961	1589	1026	2122	1120	1115	612	219	1055	1095
ENSG00000008438	0	0	0	0	0	0	0	0	1	0	0
ENSG00000008441	723	613	847	650	1197	703	506	406	140	532	578
ENSG00000008513	1014	1069	1394	898	1532	798	584	400	144	666	632
ENSG00000008516	7	8	20	9	20	21	8	6	2	16	8
ENSG00000008517	74	77	160	96	107	53	25	26	8	16	31
ENSG00000008710	2076	1702	2903	1646	6627	2879	2052	1926	710	3251	3228
ENSG00000008735	6140	6450	5249	3349	13288	6860	5532	4375	1583	5332	6859
ENSG00000008838	4727	4749	6165	4186	11788	5814	4465	3386	1328	5837	5826
ENSG00000008853	370	318	516	301	665	311	393	239	95	412	423
ENSG00000008869	1584	1401	1803	1122	2935	1646	1318	817	305	1474	1547
ENSG00000008952	3894	3783	7482	5061	7813	4795	4827	2539	1054	3818	4101
ENSG00000008988	25503	43098	36653	24721	71001	42814	33725	24325	10227	33650	52595
ENSG00000009307	39195	36950	56828	37808	59800	34115	37132	19528	8167	33697	36133
ENSG00000009335	7235	6727	8300	5291	12862	7090	7597	4238	1814	6725	6904
ENSG00000009413	1637	1254	1715	1212	3438	1954	1338	841	323	1340	1355
ENSG00000009694	2	6	15	9	16	14	0	0	1	9	8
ENSG00000009709	258	190	288	160	544	327	134	84	30	237	223
ENSG00000009724	4	17	2	6	25	21	10	12	3	23	31
ENSG00000009765	6	7	3	0	12	9	6	8	2	3	7
ENSG00000009780	507	532	487	319	929	503	379	203	80	511	506
ENSG00000009790	2	3	0	2	3	5	1	3	0	0	0
ENSG00000009830	1161	954	1387	794	2704	1343	1149	871	321	1308	1279
ENSG00000009844	4127	4300	4912	3201	6950	3967	4331	2290	913	3354	3730
ENSG00000009950	431	503	393	307	1011	508	332	259	94	661	695
ENSG00000009954	6587	5355	9671	6506	11741	6437	6313	3727	1543	6084	6031
ENSG00000010017	2502	2291	2954	2075	4650	2695	2670	1613	631	2181	2355
ENSG00000010030	8	19	9	8	18	9	2	0	1	3	8
ENSG00000010072	1579	1496	2330	1531	2672	1470	1262	717	299	1191	1270
ENSG00000010165	1474	1305	2330	1404	3062	1530	1414	805	312	1439	1511
ENSG00000010219	952	1143	1579	1040	2007	1124	811	591	253	834	942
ENSG00000010244	7995	8386	9571	6200	18517	10230	8775	5916	2389	10771	12110
ENSG00000010256	5340	5591	7880	5115	9450	4664	5064	3407	1335	4632	4633
ENSG00000010270	3032	3884	4132	2603	6142	3549	3872	2200	883	2681	3251
ENSG00000010278	1587	1624	2627	1759	2953	1695	1741	1096	447	1514	1476
ENSG00000010282	0	2	1	0	3	0	3	0	0	4	1
ENSG00000010292	9203	8569	11630	7986	15699	8260	6676	4180	1692	8424	8445
ENSG00000010295	1159	1247	1007	635	3474	1558	926	874	318	1279	1379
ENSG00000010310	173	192	142	97	481	217	96	68	44	405	393
ENSG00000010318	347	374	419	255	611	356	221	145	57	369	415
ENSG00000010319	47	40	102	56	161	83	35	23	7	46	57
ENSG00000010322	3230	3210	4087	2652	8708	4297	2810	2242	861	3911	3984
ENSG00000010327	9	7	4	5	8	7	0	1	1	2	5
ENSG00000010361	2206	2203	2957	1897	4314	2158	1854	1303	502	2121	2029
ENSG00000010379	15	30	14	8	42	30	17	11	3	28	28
ENSG00000010404	3182	3046	6946	4625	7630	4510	3645	2353	936	3872	4190
ENSG00000010438	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010539	886	877	1243	837	1320	842	587	322	135	588	589
ENSG00000010610	8	5	10	4	3	2	2	2	1	0	1
ENSG00000010626	274	303	359	193	359	230	171	101	40	215	247
ENSG00000010671	7	4	23	18	15	4	13	5	0	21	8
ENSG00000010704	54	55	6	7	117	68	56	54	12	64	75
ENSG00000010803	2336	2330	2694	1781	4252	2246	2236	1526	617	2156	2568
ENSG00000010810	4089	3529	4235	2745	7542	4148	3657	2540	967	3474	3587
ENSG00000010818	1001	783	1124	772	1775	1018	782	476	202	754	808
ENSG00000010932	4	0	1	1	4	1	0	0	0	1	2
ENSG00000011007	5079	4792	4800	3035	8316	4466	3748	2359	949	4304	4595
ENSG00000011009	3465	3445	3438	2054	5128	2563	2123	1601	601	3139	3009
ENSG00000011021	872	1025	662	491	1883	1098	600	518	197	950	1106
ENSG00000011028	1259	945	2326	1473	2602	1436	707	511	163	1725	1505
ENSG00000011052	761	872	1434	1138	855	581	428	207	88	757	701
ENSG00000011083	0	0	0	0	0	0	0	0	0	0	1
ENSG00000011105	993	824	1707	1034	2305	1131	1087	762	272	1158	1019
ENSG00000011114	600	515	763	499	1042	614	442	233	104	420	445
ENSG00000011132	583	585	716	489	1416	692	455	400	176	638	605
ENSG00000011143	1226	1182	2022	1279	2675	1311	1242	830	333	1513	1721
ENSG00000011198	783	842	998	639	1607	868	834	476	220	734	861
ENSG00000011201	1102	909	1936	1275	2503	1390	1347	845	319	1179	1197
ENSG00000011243	2208	2300	3218	2066	4720	2371	2027	1629	628	2560	2760
ENSG00000011258	1406	1361	2255	1447	3501	2058	1486	797	351	1777	2046
ENSG00000011260	3214	3130	3915	2514	5466	2997	2702	1213	542	2811	2974
ENSG00000011275	1795	1614	2891	1905	4178	2132	2011	1330	569	2057	2159
ENSG00000011295	2782	2717	4894	3231	5549	3069	3375	1924	745	3427	3515
ENSG00000011304	16752	15088	22790	15011	29021	15367	14671	10488	4201	15994	16153
ENSG00000011332	791	693	1281	822	1661	801	762	658	234	906	995
ENSG00000011347	400	304	430	369	670	369	277	207	89	363	377
ENSG00000011376	1712	1484	3699	2402	3685	1822	1983	1228	469	2566	2213
ENSG00000011405	2662	2211	3362	2317	5283	2941	2952	1630	676	2362	2462
ENSG00000011422	337	376	490	303	993	504	351	286	126	378	423
ENSG00000011426	7088	6150	6307	4223	8198	4606	3892	2196	912	3682	4060
ENSG00000011451	3310	3081	4670	3116	7016	3566	2908	2646	923	3459	3670
ENSG00000011454	2658	2511	2978	1940	4235	2405	1796	1094	454	2015	1893
ENSG00000011465	36	28	35	13	38	24	28	13	5	31	24
ENSG00000011478	1068	1066	1223	816	2346	1205	923	714	281	1104	1062
ENSG00000011485	6389	6501	8718	5912	11247	5893	5430	3684	1502	6176	5982
ENSG00000011523	1154	1007	1596	1063	2397	1270	1138	750	279	1160	1148
ENSG00000011566	1128	1058	1689	1127	2183	1242	1163	650	240	1060	1007
ENSG00000011590	0	0	0	0	0	6	0	0	0	1	3
ENSG00000011600	0	0	1	2	0	1	0	0	0	0	0
ENSG00000011638	169	168	384	229	469	257	215	116	46	222	234
ENSG00000011677	0	0	1	0	0	0	1	0	0	0	0
ENSG00000012048	4070	3284	5512	3745	7117	3858	3415	2064	890	4442	4280
ENSG00000012061	2127	1905	2854	1975	3955	2116	1755	1398	573	2063	2220
ENSG00000012124	1	0	10	4	18	5	5	3	0	12	15
ENSG00000012171	88	74	113	80	396	174	107	103	28	153	182
ENSG00000012174	1835	1570	4228	2580	4372	2495	2559	1426	530	2126	2101
ENSG00000012211	395	395	536	356	783	368	196	150	60	351	356
ENSG00000012223	0	2	0	0	0	1	0	0	0	0	0
ENSG00000012232	2201	1765	3190	2164	4598	2383	2227	1484	584	2526	2366
ENSG00000012504	0	0	0	0	1	1	0	0	0	0	0
ENSG00000012660	4960	4755	6173	4103	9375	5547	6123	3375	1423	5420	5666
ENSG00000012779	21	29	32	17	31	18	6	6	2	16	19
ENSG00000012817	4	4	2	0	3	5	4	1	0	4	5
ENSG00000012822	1054	1092	1240	757	2390	1130	917	730	260	1371	1495
ENSG00000012963	1160	1116	1828	1291	2409	1343	1292	803	340	1180	1224
ENSG00000012983	2165	2025	3273	2289	4627	2793	2420	1271	549	2222	2547
ENSG00000013016	706	607	1335	785	1402	752	734	564	217	727	779
ENSG00000013275	2199	2294	3623	2469	4341	2215	2391	1558	636	2365	2434
ENSG00000013288	670	630	1094	712	1632	804	719	540	229	783	795
ENSG00000013293	11	11	8	2	23	21	8	18	1	19	30
ENSG00000013297	10	16	17	12	57	26	19	17	3	28	20
ENSG00000013306	8333	8542	10145	6728	16758	8166	6650	5209	2015	8031	8490
ENSG00000013364	169	200	371	205	429	219	177	94	33	173	179
ENSG00000013374	4612	5085	6016	4062	8043	4793	4702	2749	1113	4405	4598
ENSG00000013375	3052	3050	3609	2103	6080	3408	3319	1685	712	2634	2834
ENSG00000013392	451	524	507	337	1033	596	456	355	126	406	502
ENSG00000013441	972	1168	1299	787	3308	1726	1057	706	289	1107	1357
ENSG00000013503	1164	911	1844	1229	2034	1071	1056	604	247	1011	1077
ENSG00000013523	1406	1386	2620	1512	3965	2087	1758	1133	403	1995	1800
ENSG00000013561	3035	3344	4321	2911	4240	2253	3256	1796	735	2355	2519
ENSG00000013563	1218	1096	1711	1136	2992	1542	1552	1132	479	1539	1621
ENSG00000013573	3065	3331	2667	1867	9572	4349	2478	2147	891	4505	4693
ENSG00000013583	1478	1486	2076	1280	1989	1151	1090	658	260	1067	1146
ENSG00000013588	172	182	244	148	363	195	159	116	46	164	177
ENSG00000013619	341	316	620	399	1009	484	661	425	164	504	508
ENSG00000013725	23	25	44	21	64	34	15	9	5	19	12
ENSG00000013810	4780	4697	6055	4034	9284	4564	3753	2747	1037	4505	4488
ENSG00000014123	1931	1687	2744	1931	4380	2527	2247	1149	542	2388	2463
ENSG00000014138	3039	2792	3497	2175	5117	2718	2580	1724	682	2635	2665
ENSG00000014164	1304	1187	2259	1377	2103	1145	836	713	255	1199	1045
ENSG00000014216	2991	2869	3959	2536	5926	2970	2804	1878	729	3090	2881
ENSG00000014257	66	66	82	56	77	66	47	25	12	67	58
ENSG00000014641	6834	7111	10487	6644	10586	5757	6238	3322	1336	5589	5499
ENSG00000014824	5670	5701	8645	5677	10411	6108	6515	3513	1462	4755	5397
ENSG00000014914	163	145	154	111	472	234	142	116	42	189	221
ENSG00000014919	1924	1956	3871	2451	3915	2069	1749	1009	432	2018	2172
ENSG00000015133	917	790	1163	762	1956	988	719	586	211	931	1001
ENSG00000015153	879	1003	1206	791	1594	1011	894	514	222	694	721
ENSG00000015171	1592	1390	2140	1413	3124	1819	1724	932	377	1482	1752
ENSG00000015285	17	24	31	19	48	25	11	17	7	14	30
ENSG00000015413	5	5	9	6	22	5	13	5	1	5	2
ENSG00000015475	1301	1193	1879	1265	2258	1203	1383	847	348	1220	1206
ENSG00000015479	14005	12936	20514	13771	21822	12107	13869	7392	3154	13332	13924
ENSG00000015520	135	130	361	248	505	241	232	166	65	179	171
ENSG00000015532	1451	1223	1800	1180	3022	1530	1051	937	293	1570	1526
ENSG00000015568	936	1253	1198	235	2450	658	645	204	309	1161	455
